Id,QuaternaryFaultDensity,HorizGravityGradient,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient,Heatflow,DEM_30m,Longitude,Latitude,NAME,MAX_Temp_C,Blind_Status,NET_POWER_Mwe_2018,Depth_m,TrainCode
1,-0.02741026,0.039597294,-0.986602795,-1.008621851,-0.733904647,1.014094242,-0.206033971,-0.754745428,-2.007011602,0.394124865,-115.514322,39.737374,Alligator Ridge well,44,yes,0,,1
2,0.448725682,1.691344835,1.009807818,-0.0638919,-0.49554339,0.220368841,-0.071265956,1.450432266,-1.33470403,-1.07860927,-119.362042,38.961757,Ambassador Well,110,yes,0,,1
3,1.070970429,0.373260315,-0.178362891,0.011733945,-0.882393178,1.102452227,-1.200669798,1.677132777,0.196371608,-1.303001337,-118.768078,40.4094,Bach Well,78,yes,0,,1
4,0.2009345,4.269270543,0.042697528,0.92511607,-0.450001742,-0.652573734,0.779572293,-0.095253034,-1.670693068,-0.949648313,-115.552213,38.503631,Bacon Flat,153,yes,0,,1
5,-1.298478871,0.529496291,-0.529951406,-1.124388656,-0.157382973,-1.131317693,-0.041029493,-0.517740349,0.212232477,0.125886073,-116.360388,39.55838,Bartine Hot Springs,62,no,0,,1
6,-1.022006321,0.758809349,-1.264523866,-0.315192181,1.09424993,-1.051309395,-0.467806481,-0.610481467,2.069601456,-1.143089749,-116.936348,40.648846,Battle Mountain City Well,89,yes,0,,1
7,-0.422823107,-1.177733323,-0.68713367,2.521988761,2.417620978,-0.076750371,-0.102773506,0.316929713,2.165141274,-0.823266574,-116.585621,40.567284,Beowawe,227,no,11.4,,1
8,-1.360528183,0.89295524,-0.509615895,1.16935477,-0.042402781,-0.419039863,-0.206033971,-0.012816485,-0.309924558,-0.374482442,-117.059092,38.951078,Big Blue,155,no,0,,1
9,0.371355044,0.124297357,0.776120976,-0.382452384,-1.063107328,0.402212815,0.142339957,1.007335813,0.846475663,-0.382220099,-119.244776,39.926102,Black Warrior,128,yes,0,,1
10,0.328629102,3.444295787,0.004235585,0.698215148,-0.420560434,-0.227711942,0.706008662,-0.89900939,-1.639976469,-0.923856121,-115.528454,38.562777,Blue Eagle Springs,41,no,0,,1
11,0.657755522,1.032174145,0.877027078,-0.46732089,-0.368530614,0.992552813,-0.283636291,0.18297032,0.331408174,-1.452596047,-119.012939,39.790371,Bradys,212,no,8.9,,1
12,0.845292916,2.977835398,-1.803441228,-1.245822356,-0.61514796,-0.123950882,-1.542368166,-0.74444086,0.350702499,-0.067555363,-116.0691,40.219191,Bruffey's Hot Springs,72,no,0,,1
13,-0.942464584,1.543071565,0.407075651,1.009714725,1.432337955,0.355403099,0.043048028,-0.723831722,1.079852977,-1.045079421,-117.327178,40.36781,Buffalo Valley Hot Spring,128,no,0,,1
14,-0.092380746,4.305488007,-1.729105796,-1.340315366,-1.148379646,-0.384325755,-0.87157264,-0.651699742,0.304276391,-0.286788991,-116.056278,40.292156,Carlotti Ranch Springs,39,no,0,,1
15,-0.275124313,0.832657015,-1.358205534,1.333289737,0.098919417,0.90124003,-1.200669798,-0.806268272,-0.081786688,0.236792497,-114.898999,39.887694,Cherry Creek Hot Springs,102,no,0,,1
16,-0.41164315,-0.266838413,1.390832997,0.610378492,2.219668309,0.254415737,1.774457045,1.275254599,1.616189771,-1.981335973,-118.062971,39.677163,Clan Alpine Ranch,70,yes,0,,1
17,-0.142664835,1.47847091,0.310925514,0.43306313,1.32764785,0.149272595,0.396714151,-0.929923096,-0.651117743,-1.38295713,-118.369703,40.244527,Colado,155,yes,0,,1
18,-0.450713294,0.217730708,1.120043967,1.76505343,1.436865487,-0.135903516,0.624524668,-0.064339328,0.44569938,-0.949648313,-117.626832,40.438583,Coyote Spring - Pleasant Valley NV,64,no,0,,1
19,0.023834513,0.239242855,-0.805817688,1.418585734,2.351693329,0.537896175,-0.206033971,0.935203833,2.158735849,-0.952227532,-116.516833,40.406283,Crescent Valley Hot Sprgs,87,no,0,,1
20,0.245788061,2.162749808,-0.321437542,0.210772407,-0.372936605,-0.728979085,0.118718128,1.41951856,0.202171648,-0.28936821,-117.181499,38.817284,Darroughs Hot Springs,145,no,0,,1
21,0.569941391,-0.834887505,0.825857029,-0.820354989,-0.579896158,0.910009108,-0.467806481,0.811549009,-0.182120741,-1.130193653,-118.951777,39.760877,Desert Peak,219,yes,10.4,,1
22,0.920170515,-0.965694198,0.937708693,-0.719205401,-0.27565519,0.931836485,-0.206033971,0.419975399,-0.193560645,-1.455175267,-118.848584,39.797524,Desert Queen,155,yes,0,,1
23,2.173405283,-0.156644852,-0.141913988,-0.728852841,0.196515339,0.889611472,-0.711823278,-0.878400252,-0.892474356,0.559194891,-116.654563,39.060817,Diana's Punch Bowl-Potts Ranch,74,no,0,,1
24,0.085834792,2.045043049,1.187514191,1.606740158,2.461928086,0.304542451,1.067507936,-0.291039839,1.728364158,-1.996811288,-118.008779,39.860732,Dixie Comstock,196,no,0,,1
25,0.852764536,0.542339363,1.197842772,1.369022661,2.504394644,0.012017473,1.169741366,-0.074643897,2.380949478,-1.986494412,-118.065459,39.793178,Dixie Meadows,145,no,0,,1
26,-0.653918157,3.141327709,1.260956915,1.750548876,1.653702565,0.76217295,1.359064317,0.213884026,1.312607943,-1.958123001,-117.873408,39.95856,Dixie Valley,250,no,56.6,,1
27,0.164505067,-0.308321537,1.303286834,1.103375915,0.474583538,-2.657890128,0.490365911,0.574543929,-0.0867058,-1.362323377,-118.311771,38.85254,Don Campbell/Wild Rose,151,yes,36,,1
28,0.750554605,-0.131921938,-0.747091027,-0.588822279,-0.461574792,-0.466040211,0.345153461,-0.12616674,-1.674038298,-0.273892895,-115.701213,38.949485,Duckwater Area,45,no,0,,1
29,2.564688552,2.425583285,1.632089339,0.760124182,1.297310963,0.772849302,1.306076046,0.842462715,0.969911463,-0.910960026,-118.245998,39.417244,Eleven Mile Canyon,82,yes,0,,1
30,2.205647704,0.820456096,1.00165764,-0.714550451,1.326243589,0.186150377,1.254463134,0.02840179,0.300655609,-1.501601211,-119.408464,40.3864,Empire - San Emidio,190,no,7.47,,1
31,0.862158351,-0.548165914,-0.436451257,-0.344605617,0.241669846,0.81069073,0.250526887,-0.641395173,-1.521317245,0.071722471,-116.035726,39.277863,Fish Creek Springs,45,no,0,,1
32,-0.758414215,2.32816858,1.218281748,0.584405446,0.107538192,0.421419,1.568962629,0.832158146,0.842694706,-0.903222368,-117.939165,38.962321,Gene Sawyer well,84,yes,0,,1
33,-0.661649168,4.804826662,0.782782884,2.304218061,0.745315198,1.132667417,0.864711839,0.306625144,-1.216561288,-1.568660909,-119.364354,40.662783,Gerlach,192,no,0,,1
